Word,Length,Freq_HAL,Log_Freq_HAL,NPhon,NSyll,NMorph,I_Mean_RT,I_Mean_Accuracy,I_NMG_Mean_RT,I_NMG_Mean_Accuracy
shopping,8,9583,9.17,5,2,2,654.88,1,617.63,1
shops,5,10164,9.23,4,1,2,714.19,0.97,608.58,0.96
shore,5,6111,8.72,3,1,1,613.24,1,642,1
shoreline,9,1049,6.96,6,2,2,695.94,0.97,684.07,1
short,5,95521,11.47,4,1,1,587.03,1,641.96,1
shortage,8,2551,7.84,6,2,2,689.44,0.97,629.19,0.96
shortcut,8,1458,7.28,7,2,2,666.85,0.97,626.88,1
shortcuts,9,890,6.79,8,2,3,653.91,0.97,679.18,1
shorten,7,1108,7.01,5,2,2,641.32,0.91,632.85,1
shortened,9,1432,7.27,6,2,3,771.33,1,692.36,1
shorter,7,7682,8.95,5,2,2,639.57,1,668.11,1
shortfall,9,327,5.79,7,2,2,704.76,0.97,662.71,1
shorthand,9,613,6.42,8,2,2,602.16,1,663.7,1
shortly,7,9635,9.17,6,2,2,631.79,1,628.19,1
shortness,9,193,5.26,7,2,2,723.27,1,667.64,1
shorts,6,5533,8.62,5,1,2,652.71,0.97,627.04,1
shot,4,42214,10.65,3,1,1,554.48,0.97,590.92,1
shotgun,7,3458,8.15,6,2,2,664.54,1,673.36,1
shotguns,8,918,6.82,7,2,3,645.76,0.97,677.44,1
shots,5,15267,9.63,4,1,2,673.82,0.97,579.82,1
shoulder,8,11440,9.34,5,2,1,627.55,0.94,660.46,1
shoulders,9,7751,8.96,6,2,2,606.35,1,673.54,1
shouldn't,9,30129,10.31,5,2,2,724.28,0.97,660.89,1
shout,5,3285,8.1,3,1,1,619.15,0.94,637.11,1
shouted,7,2180,7.69,5,2,2,646.7,0.97,662.61,1
shouting,8,3165,8.06,5,2,2,629.41,0.97,685.41,1
shouts,6,890,6.79,4,1,2,632.74,0.94,636.08,1
shove,5,2255,7.72,3,1,1,677.53,0.91,649.36,1
shoved,6,1853,7.52,4,1,2,647,0.91,670.93,1
shovel,6,1017,6.92,4,2,1,669.52,0.94,646.22,0.96
shovels,7,219,5.39,5,2,2,660.25,0.94,655.93,1
shoving,7,835,6.73,5,2,2,734.13,0.88,690.69,0.96
showcase,8,2583,7.86,5,2,2,677.09,1,654.39,1
showdown,8,1104,7.01,5,2,2,638.84,0.97,696.67,0.96
showed,6,22575,10.02,3,1,2,729.34,0.97,637.36,1
shower,6,6874,8.84,3,1,1,653.45,0.97,609.58,1
showered,8,480,6.17,4,1,2,676.09,1,658.57,1
showering,9,367,5.91,5,2,2,645.55,0.97,667.52,1
showers,7,1492,7.31,4,1,2,631.46,1,640.67,1
showing,7,24886,10.12,4,2,2,614.27,1,664.72,0.96
showings,8,516,6.25,5,2,3,748.03,1,698.86,1
shown,5,31872,10.37,3,1,2,590.86,1,637.52,1
showroom,8,445,6.1,5,2,2,695.34,0.94,695.5,1
shows,5,64056,11.07,3,1,2,665.76,1,617.69,0.96
shred,5,1446,7.28,4,1,1,620.78,0.94,650.25,1
shredded,8,855,6.75,6,2,2,619.03,0.94,685.39,1
shredding,9,334,5.81,6,2,2,746.79,1,698.12,1
shrewd,6,290,5.67,4,1,1,740.56,0.91,695.52,1
shrill,6,479,6.17,4,1,1,735.23,0.91,703.88,1
shrimp,6,1993,7.6,5,1,1,705.21,1,634.48,1
shrine,6,2376,7.77,4,1,1,660.81,0.91,665.73,1
shrink,6,4085,8.32,5,1,1,619,0.97,652.58,1
shrinking,9,1449,7.28,7,2,2,620.12,1,660.33,1
shrinks,7,573,6.35,6,1,2,676.55,0.94,648.8,1
shrub,5,280,5.63,4,1,1,744.44,0.94,697.85,0.96
shrubs,6,339,5.83,5,1,2,724.38,0.97,652.44,1
shrug,5,1718,7.45,4,1,1,695.39,0.88,681.15,1
shrugged,8,1796,7.49,5,1,2,649,0.94,683.96,1
shrugs,6,289,5.67,5,1,2,708.77,0.91,643.44,0.96
secret,6,35327,10.47,6,2,1,696.97,0.97,658.41,1
secrets,7,7812,8.96,7,2,2,613.97,1,645.81,1
section,7,94926,11.46,5,2,2,685.59,1,648.22,1
sections,8,15230,9.63,6,2,3,639.44,0.94,685.48,1
