"Word","Length","Log_Freq_HAL","NPhon","NSyll","NMorph","I_Mean_RT","I_Mean_Accuracy","I_NMG_Mean_RT","I_NMG_Mean_Accuracy"
"warm","4","9.95","4","1","1","591.53","0.97","557.30","1.00"
"warmed","6","7.04","5","1","2","626.55","0.97","600.04","1.00"
"warmer","6","7.49","5","2","2","741.91","1.00","634.11","1.00"
"warming","7","7.97","6","2","2","617.00","0.97","623.81","1.00"
"warmth","6","7.82","5","1","1","595.06","0.97","634.12","1.00"
"warn","4","8.35","4","1","1","608.58","0.97","568.54","1.00"
"warned","6","9.92","5","1","2","601.45","0.97","604.18","1.00"
"warning","7","10.00","6","2","2","612.12","0.97","564.82","1.00"
"warnings","8","8.26","7","2","3","623.97","1.00","597.70","0.96"
"warns","5","7.39","5","1","2","730.61","0.97","609.52","1.00"
"warp","4","10.82","4","1","1","713.97","1.00","640.44","0.96"
"warrant","7","8.78","6","2","1","724.61","0.97","635.50","1.00"
"warranty","8","9.43","7","3","2","733.19","0.94","677.93","1.00"
"warrior","7","9.30","5","2","2","665.52","1.00","610.32","1.00"
"warriors","8","9.11","6","2","3","624.30","0.97","635.96","1.00"
"wars","4","10.11","4","1","2","594.43","1.00","552.89","1.00"
"wartime","7","6.78","6","2","2","704.41","1.00","627.26","1.00"
"washed","6","8.07","4","1","2","620.17","1.00","588.78","1.00"
"washer","6","6.92","4","2","2","628.68","0.97","591.96","1.00"
"washing","7","8.11","5","2","2","669.06","0.97","602.07","1.00"
"Washington","10","10.98","8","3","2","663.58","0.97","579.21","1.00"
"wasn't","6","11.23","5","2","2","644.03","1.00","638.19","1.00"
"waste","5","10.21","4","1","1","679.03","0.97","560.81","1.00"
"wasted","6","8.77","6","2","2","612.76","1.00","584.92","1.00"
"wasteful","8","6.97","6","2","2","676.31","0.94","594.11","1.00"
"wasting","7","8.85","6","2","2","678.90","0.94","694.12","1.00"
"watchdog","8","6.88","6","2","2","703.58","1.00","621.82","1.00"
"watched","7","9.72","4","1","2","633.19","0.97","558.22","1.00"
"watchers","8","7.05","5","2","3","641.31","1.00","580.75","1.00"
"watches","7","8.01","5","2","2","617.91","1.00","569.04","1.00"
"water","5","11.57","4","2","1","564.88","1.00","569.70","0.96"
"waterfall","9","6.71","7","3","2","638.94","1.00","578.36","1.00"
"waved","5","7.04","4","1","2","633.85","1.00","576.46","1.00"
"waterproof","10","6.77","8","3","2","654.42","1.00","599.29","1.00"
"waters","6","8.82","5","2","2","580.72","0.97","614.89","0.96"
"Watson","6","8.67","5","2","2","682.38","0.97","611.19","1.00"
"wavelength","10","7.24","7","2","2","691.15","0.97","625.25","1.00"
"waving","6","7.63","5","2","2","726.39","0.97","606.86","1.00"
"wax","3","8.59","4","1","1","638.15","0.97","579.37","1.00"
"Wayne","5","9.55","3","1","1","726.97","1.00","647.14","1.00"
"ways","4","10.90","3","1","2","591.79","0.97","595.39","1.00"
"weaken","6","7.11","5","2","2","647.25","0.94","618.31","1.00"
"weakened","8","7.26","6","2","3","659.42","1.00","622.68","1.00"
"weaker","6","7.93","4","2","2","612.64","0.97","566.62","1.00"
"weakest","7","6.89","6","2","2","715.12","0.97","616.77","1.00"
"weakness","8","8.59","6","2","2","575.39","1.00","616.62","1.00"
"wealth","6","9.39","4","1","1","587.15","0.97","604.33","1.00"
"wealthy","7","8.49","5","2","2","612.59","1.00","614.54","1.00"
"weapon","6","9.89","5","2","1","620.74","0.97","573.18","1.00"
"wearing","7","9.85","5","2","2","732.00","1.00","627.74","0.96"
"wears","5","8.19","4","1","2","631.97","0.94","592.35","1.00"
"weary","5","7.04","4","2","1","664.24","0.94","654.50","1.00"
"weasel","6","7.33","5","2","1","695.03","1.00","628.78","1.00"
"weather","7","9.97","4","2","1","602.94","1.00","656.21","1.00"
"weaver","6","7.95","4","2","2","686.66","0.94","632.14","1.00"
"web","3","11.85","3","1","1","618.74","1.00","558.26","1.00"
"Webster's","9","7.07","7","2","2","632.69","1.00","596.41","1.00"
"wed","3","9.62","3","1","1","613.28","0.97","598.89","0.97"
"wedding","7","9.44","5","2","2","605.39","1.00","598.15","1.00"
